X,aY,aZ,gX,gY,gZ
0.646,-0.179,0.689,-74.158,131.775,1.221
0.651,-0.095,0.749,-73.669,132.080,10.193
0.687,-0.008,0.749,-64.331,134.766,14.954
0.729,0.088,0.708,-48.157,138.000,17.578
0.834,0.113,0.554,-31.067,140.198,20.081
0.841,0.142,0.523,-21.912,134.155,18.250
0.812,0.146,0.633,-26.184,125.061,2.808
0.807,0.121,0.740,-27.222,124.878,-11.292
0.824,0.061,0.735,-21.790,133.789,-16.174
0.814,-0.008,0.653,-15.686,146.790,-15.930
0.772,-0.118,0.533,-12.146,158.081,-14.771
0.748,-0.146,0.549,-14.771,165.771,-12.756
0.790,-0.125,0.670,-17.273,167.786,-9.094
0.819,-0.002,0.715,-12.207,171.692,-4.578
0.805,0.112,0.542,4.578,180.664,2.441
0.811,0.218,0.368,18.311,190.674,5.432

-0.098,0.275,-2.407,-78.003,-333.679,-70.984
-0.511,0.100,-2.108,-97.046,-470.947,-102.173
-0.799,-0.121,-1.188,-84.167,-620.361,-109.131
-0.890,-0.509,-0.105,-50.293,-732.117,-94.849
-1.121,-0.824,0.921,-2.319,-799.194,-67.993
-1.253,-0.788,1.850,35.583,-815.735,-21.118
-1.221,-0.514,2.580,63.293,-776.794,36.316
-1.114,-0.099,2.954,77.209,-678.406,92.163
-0.781,0.289,3.021,66.467,-533.569,122.803
-0.425,0.535,2.792,36.865,-367.126,120.544
-0.109,0.527,2.440,4.456,-218.323,88.501
0.016,0.333,2.159,-20.630,-118.103,39.673
-0.024,0.091,1.980,-29.358,-68.726,2.014
-0.069,-0.202,1.842,-18.738,-53.711,-11.108
-0.093,-0.382,1.756,-5.249,-50.781,-4.639
-0.046,-0.410,1.706,3.479,-48.218,11.414
0.027,-0.331,1.680,7.690,-42.358,24.841
0.076,-0.261,1.658,10.193,-33.936,26.123
0.096,-0.197,1.627,12.268,-23.499,20.630
0.125,-0.110,1.602,11.414,-11.047,15.564
0.169,-0.031,1.565,11.230,1.343,11.169
0.204,-0.003,1.519,11.658,15.808,3.967
0.186,-0.044,1.457,10.559,35.034,-6.897
0.161,-0.080,1.369,6.592,60.486,-15.747
0.152,-0.142,1.262,0.549,89.294,-22.156
0.168,-0.202,1.164,-5.432,114.929,-25.024
0.206,-0.212,1.092,-13.611,133.240,-24.170
0.238,-0.164,1.094,-23.254,144.226,-22.400
0.276,-0.116,1.109,-26.733,146.057,-18.372
0.289,-0.070,1.112,-22.278,141.907,-13.611
0.306,-0.082,1.054,-14.404,138.123,-11.658
0.328,-0.125,0.968,-11.353,138.306,-14.221
0.347,-0.121,0.939,-18.311,139.893,-19.470
0.361,-0.069,0.959,-27.222,139.099,-23.682
0.384,-0.031,0.995,-29.419,134.949,-25.757
0.402,-0.022,1.026,-25.452,130.432,-26.978
0.409,-0.064,1.064,-19.470,127.258,-29.053
0.388,-0.132,1.122,-14.893,125.732,-31.860
0.319,-0.134,1.169,-12.268,127.930,-28.564
0.272,-0.083,1.184,-9.155,135.132,-15.930
0.265,-0.011,1.169,-3.845,148.437,1.526
0.323,0.011,1.118,6.165,165.405,22.766
0.398,0.033,1.078,13.611,181.946,40.405
