aX,aY,aZ,gX,gY,gZ
0.216,1.898,-0.109,76.538,36.316,92.834
0.245,1.872,-0.076,57.495,37.842,85.266
0.269,1.845,-0.046,46.204,37.659,68.481
0.240,1.802,-0.081,43.274,36.133,47.546
0.197,1.722,-0.142,42.969,32.593,30.151
0.163,1.645,-0.176,38.269,26.367,19.714
0.151,1.576,-0.169,28.015,17.395,13.550
0.160,1.525,-0.135,17.212,10.498,7.996
0.170,1.480,-0.108,8.972,7.446,1.038
0.171,1.425,-0.088,4.211,4.456,-6.470
0.168,1.359,-0.072,1.343,-0.549,-14.648
0.167,1.290,-0.048,-0.977,-6.348,-21.606
0.171,1.230,-0.007,-4.150,-11.292,-26.855
0.180,1.180,0.032,-7.507,-13.977,-30.701
0.193,1.148,0.064,-10.254,-14.893,-33.447
0.204,1.128,0.094,-13.184,-15.564,-34.973
0.226,1.111,0.130,-15.686,-16.724,-36.621
0.240,1.109,0.158,-16.296,-18.250,-39.795
0.258,1.098,0.170,-16.724,-18.555,-44.067
0.269,1.084,0.179,-18.005,-18.799,-48.462
0.272,1.072,0.197,-19.226,-19.104,-52.551
0.280,1.070,0.184,-19.653,-18.677,-56.091
0.279,1.070,0.182,-21.667,-18.066,-59.387
0.282,1.069,0.174,-24.597,-17.944,-61.523
0.289,1.072,0.163,-28.381,-17.639,-62.805
0.296,1.069,0.169,-33.752,-17.151,-63.721
0.310,1.076,0.171,-37.537,-16.235,-64.148
0.326,1.106,0.164,-38.818,-14.893,-66.833
0.340,1.132,0.165,-38.330,-13.855,-70.496
0.351,1.170,0.184,-36.926,-12.024,-76.538
0.378,1.205,0.176,-32.776,-9.277,-85.266
0.387,1.238,0.144,-27.283,-6.531,-96.619
0.400,1.268,0.113,-21.729,-5.249,-109.619
0.402,1.281,0.076,-15.808,-6.958,-124.756
0.402,1.259,0.039,-10.864,-11.169,-140.320
0.406,1.240,0.035,-10.803,-16.479,-153.625
0.414,1.251,0.071,-14.404,-19.592,-165.710
0.417,1.238,0.101,-19.775,-20.081,-177.551
0.422,1.196,0.135,-26.245,-18.677,-188.782
0.429,1.135,0.168,-33.997,-16.296,-199.097
0.438,1.052,0.196,-42.053,-14.526,-207.031
0.445,0.966,0.216,-47.607,-13.184,-212.952
0.457,0.887,0.226,-49.988,-12.207,-217.102
0.455,0.815,0.229,-50.537,-10.864,-219.849
0.460,0.779,0.219,-50.781,-8.667,-220.276
0.472,0.748,0.207,-51.086,-6.897,-219.299
0.479,0.709,0.198,-51.636,-6.165,-218.689
0.489,0.685,0.195,-54.626,-5.310,-218.933
0.496,0.674,0.227,-59.937,-4.333,-220.764

-1.253,1.267,0.640,123.169,101.501,468.079
-1.132,1.659,0.699,122.681,96.008,454.285
-1.105,2.007,0.640,122.986,95.825,433.411
-1.049,2.294,0.523,119.995,108.459,406.189
-0.992,2.590,0.367,113.708,119.385,377.380
-0.775,2.869,0.298,104.797,116.516,346.313
